slide_id,subject_UID,subject_organ_UID,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,compound_name_clean,compound_folder_name,ORGAN,FILE_LOCATION,CAPTURE_NO,SPECIES,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,bad_UID,findings,abnormal,HasHypertrophy,Location,Severity
6004,0155_09_3,0155_09_3_L,155,9,3,benzbromarone,benzbromarone,benzbromarone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/benzbromarone/Liver/6004.svs,1/1,Rat,Repeat,Gavage,6,4 day,60,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'minimal', False]]",1,1,Centrilobular,minimal
64601,0688_16_5,0688_16_5_L,688,16,5,butylated hydroxyanisole,butylated_hydroxyanisole,butylated_hydroxyanisole,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/butylated_hydroxyanisole/Liver/64601.svs,1/1,Rat,Repeat,Gavage,6,29 day,2000,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'minimal', False]]",1,1,Centrilobular,minimal
38209,0442_16_1,0442_16_1_L,442,16,1,sulindac,sulindac,sulindac,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/sulindac/Liver/38209.svs,1/1,Rat,Single,Gavage,6,24 hr,150,mg/kg,False,"[['Hypertrophy', 'Periportal', 'minimal', False]]",1,1,Periportal,minimal
35733,0389_16_1,0389_16_1_L,389,16,1,erythromycin ethylsuccinate,erythromycin_ethylsuccinate,erythromycin_ethylsuccinate,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/erythromycin_ethylsuccinate/Liver/35733.svs,1/1,Rat,Repeat,Gavage,6,29 day,1000,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
70830,0606_16_1,0606_16_1_L,606,16,1,puromycin aminonucleoside,puromycin_aminonucleoside,puromycin_aminonucleoside,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/puromycin_aminonucleoside/Liver/70830.svs,1/1,Rat,Single,intravenous injection,6,24 hr,120,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
47811,0492_11_1,0492_11_1_L,492,11,1,disulfiram,disulfiram,disulfiram,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/disulfiram/Liver/47811.svs,1/1,Rat,Repeat,Gavage,6,15 day,200,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
31124,0242_15_4,0242_15_4_L,242,15,4,methyltestosterone,methyltestosterone,methyltestosterone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/methyltestosterone/Liver/31124.svs,1/1,Rat,Repeat,Gavage,6,15 day,300,mg/kg,False,"[['Hypertrophy', 'Hepatocyte', 'minimal', False]]",1,1,Hepatocyte,minimal
28994,0197_10_1,0197_10_1_L,197,10,1,coumarin,coumarin,coumarin,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/coumarin/Liver/28994.svs,1/1,Rat,Repeat,Gavage,6,8 day,50,mg/kg,False,[],0,0,,
25668,0093_15_2,0093_15_2_L,93,15,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25668.svs,1/1,Rat,Repeat,Gavage,6,15 day,100,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'slight', False], ['Hypertrophy', 'Centrilobular', 'moderate', False]]",1,1,Centrilobular,moderate
63420,0684_16_2,0684_16_2_L,684,16,2,fluoxetine hydrochloride,fluoxetine_hydrochloride,fluoxetine_hydrochloride,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/fluoxetine_hydrochloride/Liver/63420.svs,1/1,Rat,Repeat,Gavage,6,29 day,30,mg/kg,False,"[['Hypertrophy', 'Hepatocyte', 'minimal', False], ['Vacuolization: cytoplasmic', 'Hepatocyte', 'minimal', False]]",1,1,Hepatocyte,minimal
31083,0242_10_4,0242_10_4_L,242,10,4,methyltestosterone,methyltestosterone,methyltestosterone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/methyltestosterone/Liver/31083.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
46835,0117_16_2,0117_16_2_L,117,16,2,thioacetamide,thioacetamide,thioacetamide,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/thioacetamide/Liver/46835.svs,1/1,Rat,Repeat,Gavage,6,29 day,45,mg/kg,False,"[['Alteration: nuclear', nan, 'severe', False], ['Cellular foci', nan, 'slight', False], ['Degeneration: granular: eosinophilic', nan, 'severe', False], ['Fibrosis', 'Centrilobular', 'minimal', False], ['Hypertrophy', 'Centrilobular', 'moderate', False], ['Proliferation: bile duct', nan, 'moderate', False], ['Proliferation: oval cell', nan, 'slight', False]]",1,1,Centrilobular,moderate
49648,0543_06_1,0543_06_1_L,543,6,1,chlormadinone,chlormadinone,chlormadinone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/chlormadinone/Liver/49648.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
25682,0093_16_4,0093_16_4_L,93,16,4,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25682.svs,1/1,Rat,Repeat,Gavage,6,29 day,100,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'moderate', False], ['Hypertrophy', 'Centrilobular', 'severe', False], ['Increased mitosis', nan, 'minimal', False]]",1,1,Centrilobular,severe
62954,0664_07_1,0664_07_1_L,664,7,1,dexamethasone,dexamethasone,dexamethasone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/dexamethasone/Liver/62954.svs,1/1,Rat,Single,Gavage,6,9 hr,1,mg/kg,False,[],0,0,,
18824,0318_16_4,0318_16_4_L,318,16,4,iproniazid,iproniazid,iproniazid,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/iproniazid/Liver/18824.svs,1/1,Rat,Single,Gavage,6,24 hr,60,mg/kg,False,[],0,0,,
61823,0631_03_2,0631_03_2_L,631,3,2,indomethacin,indomethacin,indomethacin,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/indomethacin/Liver/61823.svs,1/1,Rat,Single,Gavage,6,9 hr,0,mg/kg,False,[],0,0,,
6308,0154_07_1,0154_07_1_L,154,7,1,benzbromarone,benzbromarone,benzbromarone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/benzbromarone/Liver/6308.svs,1/1,Rat,Single,Gavage,6,9 hr,20,mg/kg,False,[],0,0,,
50265,0597_16_2,0597_16_2_L,597,16,2,phenylanthranilic acid,phenylanthranilic_acid,phenylanthranilic_acid,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenylanthranilic_acid/Liver/50265.svs,1/1,Rat,Single,Gavage,6,24 hr,2000,mg/kg,False,"[['Change: eosinophilic', 'Hepatocyte', 'slight', False], ['Increased mitosis', nan, 'minimal', False]]",1,0,,
