slide_id,subject_UID,subject_organ_UID,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,compound_name_clean,compound_folder_name,ORGAN,FILE_LOCATION,CAPTURE_NO,SPECIES,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,bad_UID,findings,abnormal,HasHypertrophy,Location,Severity
70830,0606_16_1,0606_16_1_L,606,16,1,puromycin aminonucleoside,puromycin_aminonucleoside,puromycin_aminonucleoside,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/puromycin_aminonucleoside/Liver/70830.svs,1/1,Rat,Single,intravenous injection,6,24 hr,120,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
42323,0525_06_1,0525_06_1_L,525,6,1,triazolam,triazolam,triazolam,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/triazolam/Liver/42323.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
47703,0492_06_4,0492_06_4_L,492,6,4,disulfiram,disulfiram,disulfiram,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/disulfiram/Liver/47703.svs,1/1,Rat,Repeat,Gavage,6,8 day,60,mg/kg,False,[],0,0,,
47811,0492_11_1,0492_11_1_L,492,11,1,disulfiram,disulfiram,disulfiram,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/disulfiram/Liver/47811.svs,1/1,Rat,Repeat,Gavage,6,15 day,200,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
25668,0093_15_2,0093_15_2_L,93,15,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25668.svs,1/1,Rat,Repeat,Gavage,6,15 day,100,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'slight', False], ['Hypertrophy', 'Centrilobular', 'moderate', False]]",1,1,Centrilobular,moderate
6039,0155_11_4,0155_11_4_L,155,11,4,benzbromarone,benzbromarone,benzbromarone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/benzbromarone/Liver/6039.svs,1/1,Rat,Repeat,Gavage,6,15 day,60,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'minimal', False], ['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
62954,0664_07_1,0664_07_1_L,664,7,1,dexamethasone,dexamethasone,dexamethasone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/dexamethasone/Liver/62954.svs,1/1,Rat,Single,Gavage,6,9 hr,1,mg/kg,False,[],0,0,,
46747,0117_09_4,0117_09_4_L,117,9,4,thioacetamide,thioacetamide,thioacetamide,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/thioacetamide/Liver/46747.svs,1/1,Rat,Repeat,Gavage,6,4 day,15,mg/kg,False,"[['Change: eosinophilic', 'Hepatocyte', 'minimal', False], ['Hypertrophy', 'Centrilobular', 'minimal', False]]",1,1,Centrilobular,minimal
59801,0449_07_1,0449_07_1_L,449,7,1,TNF¿,TNF__,TNF¿,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/TNFa/Liver/59801.svs,1/1,Rat,Single,intraperitoneal injection,6,9 hr,1,Êg/kg,False,[],0,0,,
64840,0691_01_4,0691_01_4_L,691,1,4,amphotericin B,amphotericin_B,amphotericin_B,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/amphotericin_B/Liver/64840.svs,1/1,Rat,Repeat,intravenous injection,6,4 day,0,mg/kg,False,"[['Necrosis', nan, 'minimal', True]]",1,0,,
60043,0457_07_1,0457_07_1_L,457,7,1,buthionine sulfoximine,buthionine_sulfoximine,buthionine_sulfoximine,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/buthionine_sulfoximine/Liver/60043.svs,1/1,Rat,Single,intraperitoneal injection,6,9 hr,150,mg/kg,False,[],0,0,,
13057,0303_08_4,0303_08_4_L,303,8,4,chlormezanone,chlormezanone,chlormezanone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/chlormezanone/Liver/13057.svs,1/1,Rat,Repeat,Gavage,6,29 day,50,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'minimal', False]]",1,1,Centrilobular,minimal
35151,0350_14_1,0350_14_1_L,350,14,1,quinidine,quinidine,quinidine,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/quinidine/Liver/35151.svs,1/1,Rat,Repeat,Gavage,6,8 day,200,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
18824,0318_16_4,0318_16_4_L,318,16,4,iproniazid,iproniazid,iproniazid,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/iproniazid/Liver/18824.svs,1/1,Rat,Single,Gavage,6,24 hr,60,mg/kg,False,[],0,0,,
