COMPOUND_NAME,Non-Hypertrophy,Hypertrophy
2-nitrofluorene,2,0
TNF¿,2,0
acarbose,2,0
ajmaline,1,0
allopurinol,2,0
amphotericin B,2,0
benzbromarone,2,9
buthionine sulfoximine,2,0
butylated hydroxyanisole,2,1
cephalothin,1,0
chlormadinone,2,0
chlormezanone,2,8
clofibrate,2,0
coumarin,2,5
cycloheximide,2,0
dexamethasone,2,0
disopyramide,2,0
disulfiram,2,5
erythromycin ethylsuccinate,2,4
ethanol,2,0
ethinylestradiol,2,5
fenofibrate,2,0
fluoxetine hydrochloride,2,5
fluphenazine,2,0
gentamicin,2,0
imipramine,2,5
indomethacin,2,0
iproniazid,2,1
meloxicam,2,0
methyltestosterone,2,6
pemoline,2,0
phalloidin,2,0
phenobarbital,2,9
phenylanthranilic acid,2,0
puromycin aminonucleoside,2,1
quinidine,2,5
ranitidine,2,0
sulindac,2,3
theophylline,2,0
thioacetamide,2,8
triazolam,2,0
