slide_id,subject_UID,subject_organ_UID,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,compound_name_clean,compound_folder_name,ORGAN,FILE_LOCATION,CAPTURE_NO,SPECIES,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,bad_UID,findings,abnormal,HasHypertrophy,Location,Severity
59801,0449_07_1,0449_07_1_L,449,7,1,TNF¿,TNF__,TNF¿,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/TNFa/Liver/59801.svs,1/1,Rat,Single,intraperitoneal injection,6,9 hr,1,Êg/kg,False,[],0,0,,
47811,0492_11_1,0492_11_1_L,492,11,1,disulfiram,disulfiram,disulfiram,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/disulfiram/Liver/47811.svs,1/1,Rat,Repeat,Gavage,6,15 day,200,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
60043,0457_07_1,0457_07_1_L,457,7,1,buthionine sulfoximine,buthionine_sulfoximine,buthionine_sulfoximine,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/buthionine_sulfoximine/Liver/60043.svs,1/1,Rat,Single,intraperitoneal injection,6,9 hr,150,mg/kg,False,[],0,0,,
46747,0117_09_4,0117_09_4_L,117,9,4,thioacetamide,thioacetamide,thioacetamide,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/thioacetamide/Liver/46747.svs,1/1,Rat,Repeat,Gavage,6,4 day,15,mg/kg,False,"[['Change: eosinophilic', 'Hepatocyte', 'minimal', False], ['Hypertrophy', 'Centrilobular', 'minimal', False]]",1,1,Centrilobular,minimal
47703,0492_06_4,0492_06_4_L,492,6,4,disulfiram,disulfiram,disulfiram,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/disulfiram/Liver/47703.svs,1/1,Rat,Repeat,Gavage,6,8 day,60,mg/kg,False,[],0,0,,
6039,0155_11_4,0155_11_4_L,155,11,4,benzbromarone,benzbromarone,benzbromarone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/benzbromarone/Liver/6039.svs,1/1,Rat,Repeat,Gavage,6,15 day,60,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'minimal', False], ['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
42323,0525_06_1,0525_06_1_L,525,6,1,triazolam,triazolam,triazolam,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/triazolam/Liver/42323.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
29061,0197_16_4,0197_16_4_L,197,16,4,coumarin,coumarin,coumarin,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/coumarin/Liver/29061.svs,1/1,Rat,Repeat,Gavage,6,29 day,150,mg/kg,False,"[['Degeneration: vacuolar', 'Centrilobular', 'slight', False], ['Hypertrophy', 'Centrilobular', 'slight', False], ['Inclusion body: intracytoplasmic', 'Hepatocyte', 'moderate', False], ['Single cell necrosis', 'Hepatocyte', 'minimal', False]]",1,1,Centrilobular,slight
25668,0093_15_2,0093_15_2_L,93,15,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25668.svs,1/1,Rat,Repeat,Gavage,6,15 day,100,mg/kg,False,"[['Ground glass appearance', 'Centrilobular', 'slight', False], ['Hypertrophy', 'Centrilobular', 'moderate', False]]",1,1,Centrilobular,moderate
62954,0664_07_1,0664_07_1_L,664,7,1,dexamethasone,dexamethasone,dexamethasone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/dexamethasone/Liver/62954.svs,1/1,Rat,Single,Gavage,6,9 hr,1,mg/kg,False,[],0,0,,
