COMPOUND_NAME,Non-Hypertrophy,Hypertrophy
2-nitrofluorene,1,0
TNF¿,1,0
acarbose,1,0
ajmaline,1,0
allopurinol,1,0
amphotericin B,1,0
benzbromarone,1,3
buthionine sulfoximine,1,0
butylated hydroxyanisole,1,1
chlormadinone,1,0
chlormezanone,1,4
clofibrate,1,0
coumarin,1,3
cycloheximide,1,0
dexamethasone,1,0
disopyramide,1,0
disulfiram,1,4
erythromycin ethylsuccinate,1,2
ethanol,1,0
ethinylestradiol,1,3
fenofibrate,1,0
fluoxetine hydrochloride,1,2
fluphenazine,1,0
gentamicin,1,0
imipramine,1,2
indomethacin,1,0
iproniazid,1,1
meloxicam,1,0
methyltestosterone,1,2
pemoline,1,0
phalloidin,1,0
phenobarbital,1,4
phenylanthranilic acid,1,0
puromycin aminonucleoside,1,1
quinidine,1,3
ranitidine,1,0
sulindac,1,2
theophylline,1,0
thioacetamide,1,3
triazolam,1,0
